comment_id,text,video_id,video_title
UgxmFSwEpRvLfXPLeYd4AaABAg,That's mm ringtone (THE BOYS ),dQw4w9WgXcQ,Unknown
UgzqpTZvned75XGslmR4AaABAg,"Hook, line and sinker. Anyone else fall for the taken down one",dQw4w9WgXcQ,Unknown
UgwNpo5xXi-iRChXpKR4AaABAg,"So, who else was sent here by the giant floating qr code in Hermitcraft season 9? 🥲",dQw4w9WgXcQ,Unknown
Ugzk5JC52-OJuzycmDt4AaABAg,"I got Rickrolled 3 times this week:
Fear Street: Prom Queen
Caseoh’s video (MR. JONES!!!)
At a sushi restaurant
MR. JONES!!!",dQw4w9WgXcQ,Unknown
UgyHWESgM5lo8CaqrwV4AaABAg,We get Rick rolled by Rick himself,dQw4w9WgXcQ,Unknown
UgwFd8unS8dYOYMsG1l4AaABAg,Got rickrolled by my teacher😭,dQw4w9WgXcQ,Unknown
UgyX1BAwYYmTvRp6tgh4AaABAg,Thought this got taken down!,dQw4w9WgXcQ,Unknown
UgxKp6R-zqZuzn2Bd0t4AaABAg,Ricky i love you,dQw4w9WgXcQ,Unknown
UgwTcwo5aDjrLPvv9fN4AaABAg,I’m going to report this so the YouTube moderators have to look at this,dQw4w9WgXcQ,Unknown
Ugwsj_yXghm2EPpzOGJ4AaABAg,"I just got Rick rolled, unbelievable.",dQw4w9WgXcQ,Unknown
UgwAbuW6SgFw6BaArRZ4AaABAg,Cevher was here,dQw4w9WgXcQ,Unknown
UgzaQhvUcPajgWSGZIl4AaABAg,"Doğukan adaldan gelenler
👇
👇
👇",dQw4w9WgXcQ,Unknown
UgyWvccskWSN-KqVqnp4AaABAg,lol,dQw4w9WgXcQ,Unknown
UgxLEFskq8HeMan_zAl4AaABAg,❤❤❤❤❤❤❤,dQw4w9WgXcQ,Unknown
UgzJmay0Ajv4EgnL7oJ4AaABAg,YOU PRANK FUCKERS I THOUGHT IT WAS REMOVED BUT NOW I GOT RICKROLLED,dQw4w9WgXcQ,Unknown
UgwoaoDdLb2-VuFpAZp4AaABAg,Rick rolled my lil bro,dQw4w9WgXcQ,Unknown
UgyrMlGthhW9hxNiHrh4AaABAg,"I GRADUATED IN 1983  IN W WEST LOS ANGELES, BUT STILL FEEL LIKE THIS WAS PART OF MY HIGH SCHOOL YEARS  MY MAIN  GENRE WAS RAP / HIP HOP.  IT MIGHT MIGHT NOT MEAN MUCH TO OTHERS BUT AS A BLACK MALE AT THST TIME IT WAS ICE CUBE / PUBLIC ENEMY,   NEVER GONNA GIVE YOU UP,   IS ONE OE THE MAIN  ,  MAIN , MAIN SONGS THAT BROKE THRU TO KEEP MY EYES AND EARS OPEN TO OTHER  MUSIC.      YOU RICK ASTLEY IM MY EYES ARE A TRUE LEGEND.,    THANK YOU FOR MANY YEARS OF TAKING , FROM A HAVE A SAD/BAD DAY TO HAPPY TIMES WHEN THIS SONG COMES ON ,,   SALUTE TO YOU MR ASTLEY !",dQw4w9WgXcQ,Unknown
UgzR8sL63U3jsX9UOO14AaABAg,2018 me was pulling a prank on present (29th may 2025) me and it worked.,dQw4w9WgXcQ,Unknown
Ugw9igy-AE8n3bqXTSx4AaABAg,I got rickrolled by my country's public transit website...,dQw4w9WgXcQ,Unknown
UgytYlwOyI4qIgQ3Zud4AaABAg,I scan a QR code add a random McDonald's thought it was a McDonald's QR code,dQw4w9WgXcQ,Unknown
UgwyUBMEEdwJZrszU5h4AaABAg,Bro i scanned a QR code😂,dQw4w9WgXcQ,Unknown
UgyWg6YpXJWdDEiH9fF4AaABAg,When your 29 and happy to get rik rolled as it's a banger,dQw4w9WgXcQ,Unknown
UgxfcDgy9S-wylSSVBN4AaABAg,I scanned the barcode in the game and came here 😂😂😂,dQw4w9WgXcQ,Unknown
UgxWPGhTlqC0BfAvJsx4AaABAg,Just got Rick rolled by running with scissors 😢,dQw4w9WgXcQ,Unknown
UgzJGgsI7c35MPuCSsx4AaABAg,Poprowadził mnie tu disstream,dQw4w9WgXcQ,Unknown
Ugwmcr-YPMIY41nuRG54AaABAg,The song plays so well in the bathroom taking a shit 😅,dQw4w9WgXcQ,Unknown
UgwDZUCjqk0aDzTkmg94AaABAg,Bro this game to me ChatGPT😭😭,dQw4w9WgXcQ,Unknown
Ugx4DIZvDdFiHfUSB714AaABAg,Im a recovering coke addict and alcoholic 23 year's old,dQw4w9WgXcQ,Unknown
UgxkwK9Z4y9ZH4VqPSN4AaABAg,Shame on you NSA!!,dQw4w9WgXcQ,Unknown
UgzrXG0r1BkNCqTX3c94AaABAg,Zeskanowałem kod od @Kacpera Rietz i przyniosło mnie na ten film,dQw4w9WgXcQ,Unknown
Ugxiac3GiVJGdS5CQi94AaABAg,Save 7,dQw4w9WgXcQ,Unknown
UgwE858xm2ZaHuGaOs54AaABAg,Day 1318 of getting Rickrolled Everyday,dQw4w9WgXcQ,Unknown
UgwUq_EJaRZCla6SrZN4AaABAg,My playlist just rickrolled me,dQw4w9WgXcQ,Unknown
UgxBQeNflYLX9efC9814AaABAg,I got Rick Rolled by CornHub😂,dQw4w9WgXcQ,Unknown
UgysEpZWZg_cGm_zHBl4AaABAg,I record my friend,dQw4w9WgXcQ,Unknown
UgyhE4mpVH-c0GwxYzV4AaABAg,Rickroll brought me here. Admiration made me stay.,dQw4w9WgXcQ,Unknown
UgxsXYxOoFIOLST3i554AaABAg,I love this video,dQw4w9WgXcQ,Unknown
UgyQtTgj1Y5Qho4d_px4AaABAg,Legendary song and troll,dQw4w9WgXcQ,Unknown
Ugw-2rZpGM7fBjuKeeR4AaABAg,Bruh,dQw4w9WgXcQ,Unknown
Ugy2ZMcBLA4m81V1NAZ4AaABAg,He kinda looks like my brother,dQw4w9WgXcQ,Unknown
UgyoeB0T82-HCi21OMZ4AaABAg,imagine getting rickroll by a penguin extension,dQw4w9WgXcQ,Unknown
Ugza3_YGmbZezgRpa4h4AaABAg,Who is here because of H1t1?,dQw4w9WgXcQ,Unknown
Ugyv9FetKREDNhlLL0B4AaABAg,TF is Rick rolled?,dQw4w9WgXcQ,Unknown
UgxeVi4DyfayEAu30tt4AaABAg,family guy got me her😂,dQw4w9WgXcQ,Unknown
UgxqK8FRzY4mhOolNPJ4AaABAg,Got rick rolled by Alan becker,dQw4w9WgXcQ,Unknown
UgzHP7o03meM_-HFrdx4AaABAg,Love you 7,dQw4w9WgXcQ,Unknown
UgxzV084k-1SP6HaqK14AaABAg,I love this song,dQw4w9WgXcQ,Unknown
UgwGpVNvBbbXvHUhXBF4AaABAg,i got rickrolled from H1T1 ;--;,dQw4w9WgXcQ,Unknown
UgzC9PoTrtrpobN5I4d4AaABAg,i love rickrolling haha,dQw4w9WgXcQ,Unknown
UgxJD4gKDJSJgVrq6NB4AaABAg,anyone watching in 2025???,dQw4w9WgXcQ,Unknown
UgxAvxPIErjwCFDOMmR4AaABAg,Who else got rickrollee by first class maths,dQw4w9WgXcQ,Unknown
UgxnWjdRj3Z3AuLRihp4AaABAg,Rickrolling people on discord by screen sharing,dQw4w9WgXcQ,Unknown
UgwNrKmH3NtJWEB-veV4AaABAg,0:43 Rick rollll,dQw4w9WgXcQ,Unknown
Ugxn7QVCxA9Dkq-9fGZ4AaABAg,0:42 PRESS,dQw4w9WgXcQ,Unknown
Ugz9JvmSCg6RQR0DuOt4AaABAg,ı just cliced the my birhtday gift 😭😭😭😭😭😭😭😭😭😭,dQw4w9WgXcQ,Unknown
UgxhQyDMqz-9SJUimOJ4AaABAg,guys I think he never gave us up👍,dQw4w9WgXcQ,Unknown
Ugx7zF6f8h2DAFQQwQl4AaABAg,i cant believe i got rick rolled by a grub menu,dQw4w9WgXcQ,Unknown
UgzhxX0h5OW_cUdfx5l4AaABAg,I came back 2025 to watch it all over again .. 29/05/25,dQw4w9WgXcQ,Unknown
UgwjGegs6ulA_hgdcXJ4AaABAg,1.65 TRILLION VIEWS. WHAT THE FUUUUUUUUUU-,dQw4w9WgXcQ,Unknown
